drag,lift,downforce,drag_coef,lift_coef
0.000004,0.000096,-0.000096,0.000000,0.000000
409.772491,-50.179302,50.179302,1.486703,-0.182056
-109.723900,14.647065,-14.647065,-0.398091,0.053141
63.734085,-15.228889,15.228889,0.231235,-0.055252
29.939293,1.211709,-1.211709,0.108623,0.004396
33.752445,-4.197517,4.197517,0.122458,-0.015229
26.276817,-5.060985,5.060985,0.095335,-0.018362
29.548910,-6.911169,6.911169,0.107207,-0.025075
26.504637,-7.380266,7.380266,0.096162,-0.026776
40.337311,-9.215326,9.215326,0.146349,-0.033434
16.737741,-9.436948,9.436948,0.060727,-0.034238
21.259716,-9.005809,9.005809,0.077133,-0.032674
20.475454,-9.877354,9.877354,0.074287,-0.035836
20.649538,-10.066822,10.066822,0.074919,-0.036524
22.116489,-10.035012,10.035012,0.080241,-0.036408
20.450678,-10.281892,10.281892,0.074197,-0.037304
21.201605,-10.062943,10.062943,0.076922,-0.036510
21.294626,-9.446439,9.446439,0.077259,-0.034273
21.701740,-8.858253,8.858253,0.078736,-0.032139
22.132658,-8.670486,8.670486,0.080300,-0.031458
22.214628,-8.604803,8.604803,0.080597,-0.031219
21.978786,-8.543818,8.543818,0.079742,-0.030998
22.066380,-8.462032,8.462032,0.080059,-0.030701
22.560747,-8.186618,8.186618,0.081853,-0.029702
22.888062,-7.839570,7.839570,0.083041,-0.028443
22.650690,-7.554547,7.554547,0.082179,-0.027409
22.084578,-7.302127,7.302127,0.080125,-0.026493
21.805054,-7.259898,7.259898,0.079111,-0.026340
21.323017,-7.159984,7.159984,0.077362,-0.025977
20.791271,-7.026011,7.026011,0.075433,-0.025491
20.314688,-6.767384,6.767384,0.073704,-0.024553
19.878944,-6.378112,6.378112,0.072123,-0.023141
19.503319,-5.998048,5.998048,0.070760,-0.021762
19.417835,-5.671036,5.671036,0.070450,-0.020575
19.394413,-5.101720,5.101720,0.070365,-0.018510
19.369041,-4.445074,4.445074,0.070273,-0.016127
19.516098,-4.086835,4.086835,0.070807,-0.014828
19.609514,-4.003384,4.003384,0.071146,-0.014525
19.685263,-3.870915,3.870915,0.071420,-0.014044
20.234667,-3.927052,3.927052,0.073414,-0.014248
20.767277,-3.934410,3.934410,0.075346,-0.014275
20.655092,-3.731648,3.731648,0.074939,-0.013539
20.565414,-3.850645,3.850645,0.074614,-0.013971
21.099583,-3.626647,3.626647,0.076552,-0.013158
20.994003,-3.544813,3.544813,0.076169,-0.012861
20.536997,-3.590033,3.590033,0.074511,-0.013025
20.861132,-3.190693,3.190693,0.075687,-0.011576
21.225323,-2.742112,2.742112,0.077008,-0.009949
21.384747,-2.238658,2.238658,0.077586,-0.008122
21.328640,-1.835103,1.835103,0.077383,-0.006658
