drag,lift,downforce,drag_coef,lift_coef
0.000000,0.000000,-0.000000,0.000000,0.000000
363.570648,-31.320427,31.320427,1.319077,-0.113634
52.862354,-16.434492,16.434492,0.191791,-0.059626
55.237587,-12.772525,12.772525,0.200408,-0.046340
35.766949,-1.218085,1.218085,0.129767,-0.004419
54.008888,-13.264252,13.264252,0.195951,-0.048124
37.579700,-3.262292,3.262292,0.136344,-0.011836
31.797878,0.238172,-0.238172,0.115366,0.000864
24.804743,-10.601504,10.601504,0.089995,-0.038464
-161.850967,-4.743458,4.743458,-0.587214,-0.017210
44.785709,3.997340,-3.997340,0.162488,0.014503
19.022078,-7.953445,7.953445,0.069014,-0.028856
31.176197,-8.803391,8.803391,0.113111,-0.031940
9.390930,-2.188565,2.188565,0.034071,-0.007940
65.925743,-5.847260,5.847260,0.239186,-0.021215
9.308956,-3.289925,3.289925,0.033774,-0.011936
28.562323,-5.588898,5.588898,0.103627,-0.020277
28.065687,-4.546425,4.546425,0.101826,-0.016495
33.801659,-1.795571,1.795571,0.122636,-0.006515
22.245253,-6.581967,6.581967,0.080708,-0.023880
32.946758,-8.563123,8.563123,0.119535,-0.031068
26.907497,-5.454046,5.454046,0.097624,-0.019788
20.258900,1.231915,-1.231915,0.073502,0.004470
33.978363,-3.555749,3.555749,0.123278,-0.012901
27.421387,-5.049340,5.049340,0.099488,-0.018320
26.972336,-0.722239,0.722239,0.097859,-0.002620
26.787783,-5.503778,5.503778,0.097189,-0.019968
13.758265,-6.771826,6.771826,0.049917,-0.024569
16.534479,-0.815340,0.815340,0.059989,-0.002958
32.940411,0.245979,-0.245979,0.119512,0.000892
22.435543,-6.466031,6.466031,0.081399,-0.023460
34.023029,-3.921050,3.921050,0.123440,-0.014226
34.668110,-4.481574,4.481574,0.125780,-0.016260
34.458721,-2.614199,2.614199,0.125020,-0.009485
13.941392,-1.747880,1.747880,0.050581,-0.006342
28.309757,2.014259,-2.014259,0.102711,0.007308
20.533049,-1.163079,1.163079,0.074496,-0.004220
26.536690,-3.828684,3.828684,0.096278,-0.013891
25.643528,-4.354725,4.354725,0.093038,-0.015799
27.868374,-5.327386,5.327386,0.101110,-0.019328
21.964855,-3.441934,3.441934,0.079691,-0.012488
24.797649,-4.732879,4.732879,0.089969,-0.017171
17.039171,-2.240062,2.240062,0.061820,-0.008127
20.352831,-2.070800,2.070800,0.073842,-0.007513
24.919180,-2.336708,2.336708,0.090410,-0.008478
21.681316,-4.046221,4.046221,0.078662,-0.014680
20.319675,0.978816,-0.978816,0.073722,0.003551
20.833643,-2.469516,2.469516,0.075587,-0.008960
19.192169,-2.999663,2.999663,0.069631,-0.010883
12.447943,-2.223139,2.223139,0.045163,-0.008066
